text,source_url
"COVID-19 vaccines contain microchips that track people",https://example.com/fake-news-1
"The Earth is flat and NASA is lying to us",https://example.com/fake-news-2
"5G towers cause coronavirus infections",https://example.com/fake-news-3
"Drinking bleach can cure COVID-19",https://example.com/fake-news-4
"Climate change is a hoax created by scientists for money",https://example.com/fake-news-5
"The 2020 election was rigged with voting machines",https://example.com/fake-news-6
"COVID-19 vaccines are 95% effective in clinical trials",https://example.com/real-news-1
"Scientists confirm human activities cause climate change",https://example.com/real-news-2
"Multiple audits confirm 2020 election integrity",https://example.com/real-news-3
"WHO recommends vaccination for COVID-19 prevention",https://example.com/real-news-4
